cp,estado,municipio,ciudad,colonia,tipo_asentamiento,clave_estado,clave_municipio,clave_ciudad
1000,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,San angel,Colonia,9,10,1
1010,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Los Alpes,Colonia,9,10,1
1020,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Guadalupe Inn,Colonia,9,10,1
1030,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Axotla,Pueblo,9,10,1
1030,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Florida,Colonia,9,10,1
1040,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Campestre,Colonia,9,10,1
1049,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Tlacopac,Pueblo,9,10,1
1050,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Ex-Hacienda de Guadalupe Chimalistac,Colonia,9,10,1
1060,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Altavista,Colonia,9,10,1
1060,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,San angel Inn,Colonia,9,10,1
1070,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Chimalistac,Colonia,9,10,1
1080,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Progreso Tizapan,Colonia,9,10,1
1089,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Ermita Tizapan,Colonia,9,10,1
1090,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,La Otra Banda,Barrio,9,10,1
1090,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Loreto,Barrio,9,10,1
1090,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Tizapan,Pueblo,9,10,1
1100,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Polvora,Colonia,9,10,1
1109,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,La Conchita,Colonia,9,10,1
1110,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Belem de las Flores,Colonia,9,10,1
1110,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,El Capulin,Colonia,9,10,1
1110,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Ampliacion El Capulin,Colonia,9,10,1
1110,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Liberales de 1857,Colonia,9,10,1
1120,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Acueducto,Colonia,9,10,1
1120,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Cove,Colonia,9,10,1
1120,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Hidalgo,Colonia,9,10,1
1120,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Las Americas,Colonia,9,10,1
1125,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Ampliacion Acueducto,Colonia,9,10,1
1130,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Paraiso,Colonia,9,10,1
1130,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Molino de Santo Domingo,Colonia,9,10,1
1130,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Real del Monte,Colonia,9,10,1
1139,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Reacomodo Pino Suarez,Colonia,9,10,1
1140,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Bellavista,Colonia,9,10,1
1140,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Jose Maria Pino Suarez,Colonia,9,10,1
1150,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Cristo Rey,Colonia,9,10,1
1150,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Tolteca,Colonia,9,10,1
1160,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Bosque,Colonia,9,10,1
1160,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Isidro Fabela,Colonia,9,10,1
1160,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Maria G. de Garcia Ruiz,Colonia,9,10,1
1160,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,1a Victoria,Colonia,9,10,1
1170,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Abraham M. Gonzalez,Colonia,9,10,1
1180,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,Carola,Colonia,9,10,1
1180,Ciudad de Mexico,alvaro Obregon,Ciudad de Mexico,8 de Agosto,Colonia,9,10,1
